,Channel_Id,Clean_text,Category
0,UCk3JZr7eS3pg5AGEvBdEvFg,village cooking village grandpa cooking traditional village food country foods tasty recipes foodies children villagers poor people village cooking entertains cooking sharing foods,Cooking
1,UCAAXHT6P8enChyEwOXDevMA,chef deena kitchen chef deena dhayalan famous adupankarai show jaya tv also anjaraipetti zee tv chef deena kitchen cdk cooking traditional foods visiting traditional places chef deena kitchen cdk cooking chef deena b link chefdeenakitchen,Cooking
2,UC-w2vyX6uMb8k4AZwnQN_MA,amma samayal meenakshi home maker cooking journey started 7 years old since interest cooking increased cooking 45 years interest developed years cooking also cleaning making healthy home remedies would recipes vlogs way maintain family experiences thought mind presenting visit website ammasamayals com cubecreationz com order amma samayal products wtsapp 8056217504 7395951666 featured ammaveetusamayal mom cooking mini chef available social media,Cooking
3,UCDKX46dJWtKA33lTik4CFIw,chitra murali kitchen simple easy way cooking cooking vlogs,Cooking
4,UCNERXF060DNFKV8y_xw9Iug,gomathi kitchen inquiries send recipe photos gomathichannel com cooking passion greatest inspiration mom dad always wanted start cooking finally beginners want learn cook food infinite passion cooking happiness food brings us together cooking stress reliever watch try taste enjoy food,Cooking
5,UCAuhPbhpIDhUquHYkOPyX4w,kavitha samayalarai friends kavitha swaminathan kavitha samayalarai kavitha samayalarai cooking authentic traditional indian recipes veg nonveg home content includes health care tips home organising ideas tips easy cooking home organising passionate home organising cooking sharing experience ideas home designing organising cooking tasty healthy indian recipes sure definitely viewers get useful tips ideas give continuous feedback id kavithasamayalarai official com,Cooking
6,UCEdq6cRs1Jux6FuCl1zkwUw,country foods everyone everyone name anandi hometown thiruvarur district mannargudi village near keluvathur village 10 years old finish cooking time mom comes home rice broth learning cooking village cuisine ages uploading ancient recipes village dishes desserts known since july 3 2017 via website recipe mine give top,Cooking
7,UCHGktfcQq2BY_8tGPHwvm7g,madras samayal madras samayal features traditional modern recipes handed mother mother law grand mother recipes simplified suit modern cooking style still retaining traditional taste cuisine cuisine peculiar aspect stimulates taste buds six tastes every dish prepared thus satisfying palette thoroughly come learn recipe tasty dishes navin suvai arumbukkal malarattum,Cooking
8,UC3aHdsm-cfKcLyVe1O8Xu6A,chef damu trying make people happy cooking healthy simple yet delicious dishes celebrity chef south india phd hotel management guinness record holder longest cooking marathon individual visiting professor catering management enquires visit,Cooking
9,UC_exm4hbJ2zV-4SrqrL9IRw,venkatesh bhat idhayam thotta samayal friends well wishers lot thinking persuasion wife fans launching cookery sincerely hope live expectations justice care honesty gone creating culinary expertise virtual world gives immense pleasure sharing little learnt past 25 years pray almighty used wisely makes useful lot people looking learn cooking sole reason promise shall try best genuine possible show showcase food various regions countries humbly request see interpretation presenting dishes enjoy show experiences short stories incidents cookery tips culinary nuances handed generations take opportunity family happy cooking idhayam thotta samayal,Cooking
10,UCa7y271A_d1YOYS6zSbHsNg,village super cooking everyone namaskaram enthusiastic team village super cooking team village super cooking india cooking village food large amount feed poor people nearby fun u much contact villagesupercookingcontact com,Cooking
11,UCQwKXKnClk1hOIl5kMVt1cA,village food safari,Cooking
12,UCs5zOg5Ad0QAkRPJsYiRm9g,indian recipes abi passion towards making different varieties recipes trying new things cooking paved way birth indian recipes tube started marriage wanted something cooking passion hobby started tube sep 2017 based different cuisines simplified crafted help audiences recently married young ladies house wife bachelors includes lots tips detailed explanations makes easier new learners welcomed enjoy art cooking happiness homemade,Cooking
13,UCKLxe2kxPPHfWgzStYZTHgA,ragas kitchen start date 4th oct 2018 recipes style cooking interest crafting ideas works interesting entertaining hope friends gain something shows cooking recipe craft work outing shopping haul organising useful entertaining ragaskitchentamil com,Cooking
14,UCX0qEyC5fohX5wNH5Jwcsgg,shrimas kitchen shrimas kitchen shrimas kitchen indian recipes shrimas kitchen shrimas kitchen traditional taste tasty recipes,Cooking
15,UC5bfIeshJGEYM7yAvUpfUYg,chef yku chef yku formerly yeshwanth kitchen dream yeshwanth kumar umasankar 16 years jan 2020 old passionate culinary arts artistry 8 years old began hold knife started chopping vegetables passion art driven places youngest participant competed professional chefs twice age 4 silver medals culinary olympics 2020 germany first ever time indian winning 4 silver medals 120 years history culinary olympics today popular amongst indian chefs fraternity recognized national international chefs outstanding skills culinary art artistry showcase preparation mouthwatering recipes intricate culinary show pieces chef yku contact details yeshwanth kumar umasankar chefyku com www chefyku com ig chefyku fb chefyku chefyku,Cooking
16,UCiYDDqu07eZ6jHhqghPkQRg,apoorva nalabagam make tasty food healthy life bringing traditional recipes age groups,Cooking
17,UCJ4GtMTfYIf72BCncn05ozw,homecooking simple cooking everyday ingredients home cooking brings wide range recipes simple cooking methods using everyday ingredients available kitchens want make favorite recipes entertaining informative way aimed helping home cooks different skill levels recipes try hand cooking cuisines south indian north indian chinese continental much impress loved ones cooking make special occasions even better delightful recipes new recipes every day click bell icon notifications miss single update us,Cooking
18,UCw0TpGjgFmFYyBPvBYs7Eog,everyday cooking,Cooking
19,UCncnlpiTnf89IJrekMKoa3A,food farm food farm authentic natural cooking food,Cooking
20,UCIQqTkKEgbsXxEA5agNEleg,myna street food myna street food leading brand media entertainment indian street food industry brings street food latest updated news official page get latest updates pan masala ice creams pakora recipe jalebi recipe prawn recipes chicken dum biryani veg dum biryani hyderabadi dum biryani fish curry recipe fish fry recipe manchuria recipe gobi 65 recipe chicken 65 recipe chicken fry recipe soups recipe veg recipes egg recipes swagruha foods chicken recipes noodles mirchi bajji pulihora laddu indian tiffins indian sweets bhel pani puri fruit juice butter milk fastfood bobby tea types sodas banana chips potato chips rose milk carrot halw veg curries chicken curry fish curry raita sugar cane juice bada masore bajji puri bhel puri samosa ice gola goa street food hyderabadi street food rajasthani street food chat sugar candy pulao recipes,Cooking
21,UCqsxWl1B_seBmex7n5_ihlA,teluginti vanta teluginti vanta ki swagatham got delicious indian recipes continental shopping hauls kitchen cleaning hacks home remedies find staying connected updated get notification never miss make sure fascinated wondered never bored seeing daily things home made food wink wink hope time lives wink,Cooking
22,UCWsdmEh9z3DC-bg17hGNnUQ,vahchef vahrehvah cooking recipes short crisp format inspiring others cook indian food recipes sanjay thumma north south india cuisine made quick easy cooking veg,Cooking
23,UCUtOBay7y4UzlYrUyFHbBDA,hyderabadi ruchulu friends ms indira ireni chef hyderabadi ruchulu passionate cooking one stop destination people want learn hyderabadi food recipes additional focus andhra telangana recipes indian recipes interactions hyderabadi ruchulu ingredients simple something find local grocery store keep audio content english subtitles making understandable bring forgotten traditional recipes rich poor doors reply questions ask comments website www hyderabadiruchulu com,Cooking
24,UCNHDmIYt2jCSr0NW6IRNaDw,karanya kitchen friends jyothi cooking home tips daily use short sweet upload every day comment subscribing reach karanyaskitchen com,Cooking
25,UCA1yUKlGt0TM-AdA6s8So1w,jhansi kitchen ideas jhansi kitchen ideas one stop shop cooking clarifications cooking ideas upload cooking content healthy every one takes minimum time preparation mostly upload indian cuisines rich vitamins minerals also upload vast indian street food items making pani puri home easy way make samosa easy ways make cake home cake making without maida oven dalgona coffee making steps lockdown recipes hyderabadi dum biryani making mirchi ka salan making double ka meetha making paya soup making malpur making chicken 65 making chilli chicken making pav bhaji making chole batura making home made ice cream ideas us,Cooking
