,Channel_Id,Description,Category
0,UCk3JZr7eS3pg5AGEvBdEvFg,"Village Cooking Channel - Village grandpa cooking traditional village food, country foods, and tasty recipes for foodies, children, villagers, and poor people. Village cooking channel entertains you with cooking and sharing foods.",Cooking
1,UCAAXHT6P8enChyEwOXDevMA,"Chef Deena’s Kitchen - Chef Deena Dhayalan, famous for Adupankarai show in Jaya Tv and also for Anjaraipetti in Zee Tv is now in youtube on Chef Deena Kitchen (CDK) cooking traditional foods by visiting the traditional places  Subscribe to Chef Deena Kitchen (CDK) for more cooking videos by Chef Deena: b.link/chefdeenakitchen  Follow him on  Facebook: https://www.facebook.com/chefdeenadhayalan.in/ Instagram: https://www.instagram.com/chefdeenadhayalan/",Cooking
2,UC-w2vyX6uMb8k4AZwnQN_MA,"Amma samayal - Hi! I'm Meenakshi, a Home maker just like y'all. My cooking journey started when I was just 7 years old. Since then, my interest in cooking has only increased and now, here I'm, cooking for 45+ years. My interest developed over these years not just in cooking but also in cleaning and making healthy home remedies. And now, I would like to share all my recipes, Vlogs, the way I maintain my family and most of all, my experiences with you all. With this thought in mind, presenting to you my channel VISIT MY WEBSITE : ammasamayals.com FOR BUSINESS INQUIRY : cubecreationz@gmail.com FOR ORDER AMMA SAMAYAL PRODUCTS  WTSAPP 8056217504/7395951666  FEATURED CHANNELS AMMAVEETUSAMAYAL   MOM'S COOKING   MINI CHEF CHANNEL   AVAILABLE ON SOCIAL MEDIA",Cooking
3,UCDKX46dJWtKA33lTik4CFIw,"Chitra Murali's Kitchen - Simple and easy way of cooking, Cooking Vlogs   ",Cooking
4,UCNERXF060DNFKV8y_xw9Iug,"Gomathi's Kitchen - For business inquiries/send recipe photos:   gomathichannel@gmail.com  Cooking is my passion. My greatest inspiration is my mom and dad. I always wanted to start cooking channel in youtube. Finally i did. This channel is for beginners how want to learn to cook.My love for food is infinite, my passion for cooking is my happiness.  Food brings us together. For me cooking is my stress reliever.  Watch,Try, Taste and Enjoy the food.",Cooking
5,UCAuhPbhpIDhUquHYkOPyX4w,"Kavitha Samayalarai கவிதா சமையலறை - Hello friends, I am Kavitha Swaminathan, welcome to Kavitha Samayalarai🙏🤝.  Kavitha Samayalarai is all about cooking   Authentic , traditional Indian recipes. (veg,&nonveg ) at home . Content includes health care tips, home organising ideas .Tips for easy cooking , home organising. As I am very passionate about home organising and cooking. I am sharing my experience and  ideas in home designing organising And cooking tasty healthy Indian recipes. . I am  sure that Definitely viewers will get useful tips and ideas  Subscribe my channel and give your continuous support and feedback’s 👍🏻😊  Email id : FOR BUSINESS ENQUIRY : kavithasamayalarai.official@gmail.com ",Cooking
6,UCEdq6cRs1Jux6FuCl1zkwUw,"My Country Foods - அனைவருக்கும் வணக்கம் 🙏🏻🙏🏻🙏   எல்லோரும் எப்படி இருக்கிறீங்க?   என் பெயர்  ஆனந்தி  எனக்கு சொந்த ஊர்  திருவாரூர் மாவட்டம் மன்னார்குடி பக்கத்தில் கெழுவத்தூர் கிராமம்,   என் அம்மா   ஊரில் ( கோட்டூர் பக்கத்தில் குளமாணிக்கம் என் அம்மா ஊர் ) சிறுமியாக  இருக்கும்போது அம்மா வயல் வேலைக்கு போய்ட்டு  வேலை  செய்த பணத்தை வாங்கி  மறு நாளைக்கு வீட்டுக்கு தேவையான சமையல் பொருள்களை வாங்கிகிட்டு மாலை 7 மணிக்கு தான் வீட்டுக்கு வருவாங்க.  அப்போது எனக்கு வயது 10 இருக்கும், அம்மா வீட்டுக்கு  வருவதற்குள்ளேயே  நான் சமைத்து   முடித்துவிடுவேன் [ சோறு குழம்பு ] காலங்கள் செல்ல செல்ல கிராமத்து சமையலை கற்றுக்கொண்டு சமைத்து வந்தேன் ,,,ஜூலை -3-2017 முதல் எனக்கு தெரிந்த பண்டைய கால உணவு முறைகள்  மற்றும் கிராமத்து உணவுகள்  மற்றும் இனிப்பு வகைகளை   இந்த இணையத்தின் YOUTUBE  வழியாக  பதிவேற்றம் செய்து வருகின்றேன் ,என்னுடைய இந்த சமையல் பிடித்திருந்தால் SUBSCRIBE செய்து உங்களின் மேலான ஆதரவை கொடுங்கள் நன்றி வணக்கம்🙏🏻  please your support,,,,  https://www.paypal.com/IN/merchantsignup/router https://www.patreon.com/sakthivc1",Cooking
7,UCHGktfcQq2BY_8tGPHwvm7g,"Madras Samayal - Madras Samayal features traditional and modern recipes which were handed to me by my mother, mother in law and my grand-mother. Some of these recipes have been simplified to suit the modern cooking style while still retaining the traditional taste of Tamil Nadu Cuisine. This cuisine is very peculiar in the aspect that it stimulates the taste buds of all six tastes in every dish prepared and thus satisfying the palette thoroughly. Come on and learn the recipe of these tasty dishes. "" Navin Suvai Arumbukkal Malarattum""",Cooking
8,UC3aHdsm-cfKcLyVe1O8Xu6A,Chef Damu - Trying to make people happy by cooking healthy/simple yet delicious dishes.   Celebrity Chef - South India | PhD in Hotel Management | Guinness Record Holder for Longest Cooking Marathon Individual | Visiting Professor-Catering Management  For business enquires Visit : https://pickmyad.com/chefdamu ,Cooking
9,UC_exm4hbJ2zV-4SrqrL9IRw,"Venkatesh Bhat's Idhayam Thotta Samayal - My dear friends and well wishers,after a lot of thinking and persuasion from my wife and fans launching my own cookery channel,I sincerely hope that I live up to your expectations and do justice, All care and honesty has gone into creating my culinary expertise in this virtual world,it gives immense pleasure in sharing the little I have learnt over the past 25 years.  I pray Almighty that this is used wisely and makes it useful to a lot of people looking to learn cooking. You are all the sole reason of this and I promise I shall try my best and be as genuine as possible. This show will showcase food from various regions and countries,I humbly request you to see this as my interpretation of presenting the dishes. Enjoy the show which will have my experiences,short stories,incidents,cookery tips,culinary nuances that have been handed over to me for generations. I take this opportunity to thank my family. HAPPY COOKING. IDHAYAM THOTTA SAMAYAL.......",Cooking
